year,id,undergrad_men,undergrad_women,undergrad,graduate_men,graduate_women,graduate,total_men,total_women,total,cat,school,undergrad_ratio,graduate_ratio,total_ratio,undergrad_men_percentage_of_declared,undergrad_women_percentage_of_declared,undergrad_percentage_of_declared,graduate_men_percentage_of_declared,graduate_women_percentage_of_declared,graduate_percentage_of_declared,total_men_percentage_of_declared,total_women_percentage_of_declared,total_percentage_of_declared
2014,undeclared,1785,1588,3373,0,0,0,1785,1588,3373,aggr,misc,1.124055416,1,1.124055416,0.872860636,0.860238353,0.866872269,0,0,0,0.22878749,0.294183031,0.255530303
2014,total,3830,3434,7264,5757,3552,9309,9587,6986,16573,aggr,total,1.115317414,1.620777027,1.372316061,1.872860636,1.860238353,1.866872269,1,1,1,1.22878749,1.294183031,1.255530303
2014,school_biz,0,0,0,648,369,1017,648,369,1017,dept,dept,1,1.756097561,1.756097561,0,0,0,0.112558624,0.103885135,0.109249114,0.083055627,0.068358651,0.077045455
2014,business,0,0,0,574,353,927,574,353,927,prof,school_biz,1,1.626062323,1.626062323,0,0,0,0.099704707,0.099380631,0.099581051,0.073570879,0.065394591,0.070227273
2014,bizres,0,0,0,0,1,1,0,1,1,prof,school_biz,1,0,0,0,0,0,0,0.000281532,0.000107423,0,0.000185254,7.57576E-05
2014,management,0,0,0,74,15,89,74,15,89,prof,school_biz,1,4.933333333,4.933333333,0,0,0,0.012853917,0.004222973,0.00956064,0.009484748,0.002778807,0.006742424
2014,school_es,38,65,103,231,168,399,269,233,502,dept,dept,0.584615385,1.375,1.154506438,0.018581907,0.035211268,0.026471344,0.040125065,0.047297297,0.042861747,0.034478339,0.043164135,0.038030303
2014,earthsys,22,53,75,6,16,22,28,69,97,physci,school_es,0.41509434,0.375,0.405797101,0.010757946,0.028710726,0.019275251,0.001042209,0.004504505,0.002363304,0.003588823,0.012782512,0.007348485
2014,ere,8,5,13,51,19,70,59,24,83,engr,school_es,1.6,2.684210526,2.458333333,0.00391198,0.002708559,0.003341043,0.008858781,0.005349099,0.007519605,0.007562164,0.004446091,0.006287879
2014,eess,0,0,0,21,30,51,21,30,51,physci,school_es,1,0.7,0.7,0,0,0,0.003647733,0.008445946,0.005478569,0.002691618,0.005557614,0.003863636
2014,envres,0,0,0,37,35,72,37,35,72,inter,school_es,1,1.057142857,1.057142857,0,0,0,0.006426958,0.009853604,0.007734451,0.004742374,0.006483883,0.005454545
2014,ges,2,6,8,32,32,64,34,38,72,physci,school_es,0.333333333,1,0.894736842,0.000977995,0.003250271,0.002056027,0.005558451,0.009009009,0.006875067,0.004357857,0.007039644,0.005454545
2014,geophys,6,1,7,51,31,82,57,32,89,physci,school_es,6,1.64516129,1.78125,0.002933985,0.000541712,0.001799023,0.008858781,0.008727477,0.00880868,0.007305819,0.005928122,0.006742424
