year,id,undergrad_men,undergrad_women,undergrad,graduate_men,graduate_women,graduate,total_men,total_women,total,cat,school
2013,undeclared,1913,1647,3560,0,0,0,1913,1647,3560,aggr,misc
2013,total,3825,3369,7194,5672,3429,9101,9497,6798,16295,aggr,total
2013,school_biz,0,0,0,644,335,979,644,335,979,dept,dept
2013,business,0,0,0,578,318,896,578,318,896,prof,school_biz
2013,management,0,0,0,66,17,83,66,17,83,prof,school_biz
2013,school_es,50,72,122,226,171,397,276,243,519,dept,dept
2013,eees,0,0,0,1,0,1,1,0,1,physci,school_es
2013,earthsys,37,59,96,5,18,23,42,77,119,inter,school_es
2013,ere,5,5,10,43,12,55,48,17,65,engr,school_es
2013,eess,0,0,0,26,27,53,26,27,53,physci,school_es
2013,envres,0,0,0,40,39,79,40,39,79,inter,school_es
2013,ges,6,7,13,32,35,67,38,42,80,physci,school_es
2013,geophys,2,1,3,46,32,78,48,33,81,physci,school_es
2013,petrolengr,0,0,0,33,8,41,33,8,41,engr,school_es
2013,school_educ,0,0,0,127,251,378,127,251,378,dept,dept
2013,educ,0,0,0,127,251,378,127,251,378,hum,school_educ
2013,school_engr,872,392,1264,2501,920,3421,3373,1312,4685,dept,dept
2013,aa,0,0,0,171,28,199,171,28,199,engr,school_engr
2013,bioe,0,0,0,70,47,117,70,47,117,engr,school_engr
2013,chemeng,46,22,68,98,42,140,144,64,208,engr,school_engr
2013,cee,0,0,0,257,195,452,257,195,452,engr,school_engr
2013,ce,16,20,36,0,0,0,16,20,36,engr,school_engr
2013,cme,0,0,0,97,20,117,97,20,117,engr,school_engr
2013,cs,344,108,452,419,85,504,763,193,956,engr,school_engr
2013,ee,83,18,101,626,204,830,709,222,931,engr,school_engr
2013,genengr,153,134,287,14,8,22,167,142,309,engr,school_engr
2013,enve,2,6,8,0,0,0,2,6,8,engr,school_engr
2013,idm_engr,3,4,7,0,0,0,3,4,7,engr,school_engr
2013,ie,0,1,1,0,0,0,0,1,1,engr,school_engr
2013,ms&e,104,38,142,252,98,350,356,136,492,inter,school_engr
2013,matsci,24,6,30,120,51,171,144,57,201,engr,school_engr
2013,me,97,35,132,376,142,518,473,177,650,engr,school_engr
2013,sccm,0,0,0,1,0,1,1,0,1,math,school_engr
2013,school_hs,990,1258,2248,1334,975,2309,2324,2233,4557,dept,dept
2013,aaas,5,9,14,0,0,0,5,9,14,hum,school_hs
2013,africast,0,0,0,1,2,3,1,2,3,hum,school_hs
2013,amstud,12,17,29,0,0,0,12,17,29,hum,school_hs
2013,anthsci,0,0,0,0,1,1,0,1,1,socsci,school_hs
2013,anthro,2,30,32,26,47,73,28,77,105,socsci,school_hs
2013,archlgy,2,8,10,0,0,0,2,8,10,socsci,school_hs
2013,appphys,0,0,0,99,27,126,99,27,126,physci,school_hs
2013,art,0,1,1,1,2,3,1,3,4,hum,school_hs
2013,arthist,2,17,19,15,14,29,17,31,48,hum,school_hs
2013,artstudi,1,6,7,4,6,10,5,12,17,hum,school_hs
2013,asnamst,1,0,1,0,0,0,1,0,1,hum,school_hs
2013,bio,87,106,193,83,89,172,170,195,365,physci,school_hs
2013,biophys,0,0,0,28,16,44,28,16,44,physci,school_hs
2013,chem,17,21,38,167,69,236,184,90,274,physci,school_hs
2013,chinese,0,1,1,5,21,26,5,22,27,hum,school_hs
2013,classics,15,12,27,20,15,35,35,27,62,hum,school_hs
2013,comm,17,36,53,24,34,58,41,70,111,hum,school_hs
2013,complit,5,8,13,5,14,19,10,22,32,hum,school_hs
2013,complhum,0,0,0,0,1,1,0,1,1,hum,school_hs
2013,csre,8,17,25,0,0,0,8,17,25,hum,school_hs
2013,csanthro,0,0,0,1,5,6,1,5,6,hum,school_hs
2013,design,0,0,0,2,6,8,2,6,8,hum,school_hs
2013,docfilm,0,0,0,6,10,16,6,10,16,hum,school_hs
2013,drama,7,12,19,8,14,22,15,26,41,hum,school_hs
2013,dramahum,0,0,0,2,0,2,2,0,2,hum,school_hs
2013,eastasn,2,2,4,25,35,60,27,37,64,hum,school_hs
2013,econ,110,59,169,125,45,170,235,104,339,socsci,school_hs
2013,english,34,64,98,31,35,66,65,99,164,hum,school_hs
2013,femst,0,1,1,0,0,0,0,1,1,hum,school_hs
2013,filmstud,11,5,16,0,0,0,11,5,16,hum,school_hs
2013,finmath,0,0,0,19,3,22,19,3,22,math,school_hs
2013,french,3,19,22,3,11,14,6,30,36,hum,school_hs
2013,frenchital,0,0,0,1,0,1,1,0,1,hum,school_hs
2013,italian,0,6,6,1,3,4,1,9,10,hum,school_hs
2013,german,3,2,5,5,9,14,8,11,19,hum,school_hs
2013,history,44,45,89,53,48,101,97,93,190,hum,school_hs
2013,histhum,0,0,0,0,2,2,0,2,2,hum,school_hs
2013,humbio,73,240,313,0,0,0,73,240,313,inter,school_hs
2013,ilac,1,5,6,4,11,15,5,16,21,hum,school_hs
2013,idm,0,1,1,0,0,0,0,1,1,inter,school_hs
2013,ips,0,0,0,19,26,45,19,26,45,inter,school_hs
2013,ir,45,74,119,0,0,0,45,74,119,socsci,school_hs
2013,japanese,1,0,1,6,6,12,7,6,13,hum,school_hs
2013,latinam,0,0,0,3,8,11,3,8,11,hum,school_hs
2013,linguist,7,3,10,14,23,37,21,26,47,socsci,school_hs
2013,mcs,45,24,69,0,0,0,45,24,69,math,school_hs
2013,math,67,14,81,63,10,73,130,24,154,math,school_hs
2013,mtl,0,0,0,13,12,25,13,12,25,hum,school_hs
2013,mtlhum,0,0,0,1,0,1,1,0,1,hum,school_hs
2013,music,23,13,36,35,26,61,58,39,97,hum,school_hs
2013,nativeam,2,1,3,0,0,0,2,1,3,hum,school_hs
2013,phil,14,12,26,40,8,48,54,20,74,hum,school_hs
2013,philrelig,4,0,4,0,0,0,4,0,4,hum,school_hs
2013,physics,43,13,56,137,35,172,180,48,228,physci,school_hs
2013,polisci,51,47,98,42,44,86,93,91,184,socsci,school_hs
2013,psych,39,77,116,37,47,84,76,124,200,socsci,school_hs
2013,publpol,27,28,55,19,8,27,46,36,82,socsci,school_hs
2013,religst,0,5,5,11,13,24,11,18,29,hum,school_hs
2013,rees,0,0,0,3,3,6,3,3,6,hum,school_hs
2013,sts,87,123,210,0,0,0,87,123,210,inter,school_hs
2013,slavic,4,4,8,7,5,12,11,9,20,hum,school_hs
2013,soc,7,14,21,26,56,82,33,70,103,socsci,school_hs
2013,spanport,1,4,5,6,4,10,7,8,15,hum,school_hs
2013,stats,0,0,0,82,45,127,82,45,127,math,school_hs
2013,symsys,54,44,98,6,1,7,60,45,105,inter,school_hs
2013,urbanst,7,8,15,0,0,0,7,8,15,socsci,school_hs
2013,school_law,0,0,0,357,292,649,357,292,649,dept,dept
2013,law,0,0,0,341,287,628,341,287,628,prof,school_law
2013,lawbiz,0,0,0,16,5,21,16,5,21,prof,school_law
2013,school_med,0,0,0,483,485,968,483,485,968,dept,dept
2013,bioc,0,0,0,27,14,41,27,14,41,prof,school_med
2013,biomedin,0,0,0,33,19,52,33,19,52,prof,school_med
2013,cbio,0,0,0,17,36,53,17,36,53,prof,school_med
