id,name,school,cat
undeclared,Undeclared,misc,aggr
total,Total,total,aggr
school_biz,SCHOOL OF BUSINESS,dept,dept
business,Business Administration,school_biz,prof
management,Management,school_biz,prof
bizres,Business Research,school_biz,prof
school_es,SCHOOL OF EARTH SCIENCES,dept,dept
appes,Applied Earth Sciences,school_es,engr
eees,"Earth, Energy and Environmental Sciences",school_es,physci
earthsys,Earth Systems,school_es,inter
ere,Energy Resources Engineering,school_es,engr
eess,Environmental Earth System Science,school_es,physci
envres,Interdisciplinary Program in Environment and Resources,school_es,inter
ges,Geological and Environmental Sciences,school_es,physci
geo,Geology,school_es,physci
geophys,Geophysics,school_es,physci
minengr,Mineral Engineering,school_es,engr
petrolengr,Petroleum Engineering,school_es,engr
hydro,Hydrology,school_es,physci
school_educ,SCHOOL OF EDUCATION,dept,dept
educ,Education,school_educ,hum
educhum,Education and Humanities,school_educ,hum
educbiz,Education Business,school_educ,hum
healthed,Health Education,school_educ,hum
school_engr,SCHOOL OF ENGINEERING,dept,dept
aa,Aeronautics and Astronautics,school_engr,engr
bioe,Bioengineering,school_engr,engr
chemeng,Chemical Engineering,school_engr,engr
cee,Civil and Environmental Engineering,school_engr,engr
ce,Civil Engineering,school_engr,engr
cme,Computational and Mathematical Engineering,school_engr,engr
cs,Computer Science,school_engr,engr
ee,Electrical Engineering,school_engr,engr
engr,Engineering,school_engr,engr
engrsci,Engineering Science,school_engr,engr
engr_es,Engineering-Economic Systems,school_engr,engr
engr_esor,Engineering-Economic Systems and Operations Research,school_engr,engr
enve,Environmental Engineering,school_engr,engr
genengr,General Engineering,school_engr,engr
idm_engr,Individually Designed Major in Engineering,school_engr,engr
ie,Industrial Engineering,school_engr,engr
ms&e,Management Science and Engineering,school_engr,inter
matsci,Materials Science and Engineering,school_engr,engr
me,Mechanical Engineering,school_engr,engr
opsres,Operations Research,school_engr,math
preengr,Pre-Engineering,school_engr,engr
sccm,Scientific Computing and Computational Mathematics,school_engr,math
school_hs,SCHOOL OF HUMANITIES AND SCIENCES,dept,dept
aaas,African and African American Studies,school_hs,hum
africast,African Studies,school_hs,hum
amstud,American Studies,school_hs,hum
anthsci,Anthropological Sciences,school_hs,socsci
anthro,Anthropology,school_hs,socsci
archlgy,Archaeology,school_hs,socsci
appphys,Applied Physics,school_hs,physci
appmech,Applied Mechanics,school_hs,physci
architect,Architecture,school_hs,hum
art,Art,school_hs,hum
arthum,Art and Humanities,school_hs,hum
arthist,Art History,school_hs,hum
artstudi,Art Practice,school_hs,hum
asnamst,Asian American Studies,school_hs,hum
bio,Biology,school_hs,physci
biophys,Biophysics,school_hs,physci
chs,Chicana/o and Latina/o Studies,school_hs,hum
chem,Chemistry,school_hs,physci
chinese,Chinese,school_hs,hum
classics,Classics,school_hs,hum
classicshum,Classics and Humanities,school_hs,hum
comm,Communication,school_hs,hum
complit,Comparative Literature,school_hs,hum
complhum,Comparative Literature and Humanities,school_hs,hum
csre,Comparative Studies in Race and Ethnicity,school_hs,hum
csanthro,Cultural and Social Anthropology,school_hs,hum
design,Design,school_hs,hum
docfilm,Documentary Film and Video,school_hs,hum
drama,Drama,school_hs,hum
dramahum,Drama and Humanities,school_hs,hum
eastasn,East Asian Studies,school_hs,hum
econ,Economics,school_hs,socsci
english,English,school_hs,hum
enghum,English and Humanities,school_hs,hum
engfrenlit,English and French Literature,school_hs,hum
engitalit,English and Italian Literature,school_hs,hum
enggerlit,English and German Literature,school_hs,hum
engspnlit,English and Spanish Literature,school_hs,hum
femst,Feminist Studies,school_hs,hum
filmstud,Film and Media Studies,school_hs,hum
finmath,Financial Mathematics,school_hs,math
foodres,Food Research,school_hs,physci
french,French,school_hs,hum
frenchhum,French and Humanities,school_hs,hum
frenchital,French and Italian,school_hs,hum
frenchenglit,French and English Literature,school_hs,hum
frenchitalit,French and Italian Literature,school_hs,hum
italian,Italian,school_hs,hum
italfrenlit,Italian and French Literature,school_hs,hum
italenglit,Italian and English Literature,school_hs,hum
geography,Geography,school_hs,hum
german,German Studies,school_hs,hum
germanhum,German Studies and Humanities,school_hs,hum
history,History,school_hs,hum
histhum,History and Humanities,school_hs,hum
humsp,Humanities,school_hs,hum
humbio,Human Biology,school_hs,inter
humlang,Human Language,school_hs,hum
